timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1604260443887,45,home-0,200,OK,Thread Group 1-1,text,true,,24796,368,1,1,http://localhost/blog/,45,0,0
1604260443936,1,home-1,304,Not Modified,Thread Group 1-1,,true,,205,476,1,1,http://localhost/blog/Content/Auto/Global.css,0,0,0
1604260443936,75,home-2,200,OK,Thread Group 1-1,text,true,,10090,457,1,1,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",69,0,0
1604260443936,1,home-3,304,Not Modified,Thread Group 1-1,,true,,205,490,1,1,http://localhost/blog/Custom/Themes/Standard/css/styles.css,0,0,0
1604260443936,1,home-4,304,Not Modified,Thread Group 1-1,,true,,205,487,1,1,http://localhost/blog/Content/images/blog/blogengine.ico,0,0,0
1604260443936,1,home-5,304,Not Modified,Thread Group 1-1,,true,,205,496,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shCore.css,0,0,0
1604260443936,1,home-6,304,Not Modified,Thread Group 1-1,,true,,205,504,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,0,0,0
1604260443937,2,home-7,304,Not Modified,Thread Group 1-1,,true,,276,410,1,1,http://localhost/blog/en-us.res.axd,0,0,0
1604260443937,1,home-8,304,Not Modified,Thread Group 1-1,,true,,204,487,1,1,http://localhost/blog/Scripts/Auto/01-jquery-1.9.1.min.js,0,0,0
1604260443937,1,home-9,304,Not Modified,Thread Group 1-1,,true,,204,484,1,1,http://localhost/blog/Scripts/Auto/02-jquery.cookie.js,0,0,0
1604260443937,1,home-10,304,Not Modified,Thread Group 1-1,,true,,204,488,1,1,http://localhost/blog/Scripts/Auto/04-jquery-jtemplates.js,0,0,0
1604260443937,1,home-11,304,Not Modified,Thread Group 1-1,,true,,204,480,1,1,http://localhost/blog/Scripts/Auto/05-json2.min.js,0,0,0
1604260443938,1,home-12,304,Not Modified,Thread Group 1-1,,true,,204,472,1,1,http://localhost/blog/Scripts/Auto/blog.js,0,0,0
1604260443938,2,home-13,304,Not Modified,Thread Group 1-1,,true,,205,497,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/XRegExp.js,0,0,1
1604260443938,3,home-14,304,Not Modified,Thread Group 1-1,,true,,205,496,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shCore.js,0,0,1
1604260443938,2,home-15,304,Not Modified,Thread Group 1-1,,true,,205,502,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shAutoloader.js,0,0,1
1604260443939,1,home-16,304,Not Modified,Thread Group 1-1,,true,,205,493,1,1,http://localhost/blog/scripts/syntaxhighlighter/shActivator.js,0,0,0
1604260443940,3,home-17,304,Not Modified,Thread Group 1-1,,true,,245,528,1,1,http://localhost/blog/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZKFmBG-AUY7YwSX-Eh_-So8UKa0fIVRDpGlQdJn4r3q4SNLVEw2&t=637322025772739184,0,0,0
1604260443940,1,home-18,304,Not Modified,Thread Group 1-1,,true,,205,486,1,1,http://localhost/blog/Content/images/blog/rssButton.png,0,0,0
1604260443941,127,home-19,304,Not Modified,Thread Group 1-1,,true,,375,475,1,1,http://www.gravatar.com/avatar/6d639091c771c54398e476fbbabb2ce4.jpg?d=identicon,0,0,65
1604260443940,65,home-20,304,Not Modified,Thread Group 1-1,,true,,375,475,1,1,http://www.gravatar.com/avatar/2fa808609fde06076e7121ee7861fbf6.jpg?d=identicon,0,0,0
1604260444094,117,home,200,OK,Thread Group 1-1,text,true,,39227,10051,1,1,http://localhost/blog/,46,0,0
1604260444094,46,home-0,200,OK,Thread Group 1-1,text,true,,24796,368,1,1,http://localhost/blog/,46,0,0
1604260444143,2,home-1,304,Not Modified,Thread Group 1-1,,true,,205,476,1,1,http://localhost/blog/Content/Auto/Global.css,0,0,1
1604260444143,64,home-2,200,OK,Thread Group 1-1,text,true,,10090,457,1,1,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",57,0,0
1604260444143,1,home-3,304,Not Modified,Thread Group 1-1,,true,,205,490,1,1,http://localhost/blog/Custom/Themes/Standard/css/styles.css,0,0,0
1604260444143,1,home-4,304,Not Modified,Thread Group 1-1,,true,,205,487,1,1,http://localhost/blog/Content/images/blog/blogengine.ico,0,0,0
1604260444143,0,home-5,304,Not Modified,Thread Group 1-1,,true,,205,496,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shCore.css,0,0,0
1604260444143,2,home-6,304,Not Modified,Thread Group 1-1,,true,,205,504,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,0,0,1
1604260444144,2,home-7,304,Not Modified,Thread Group 1-1,,true,,276,410,1,1,http://localhost/blog/en-us.res.axd,0,0,0
1604260444144,1,home-8,304,Not Modified,Thread Group 1-1,,true,,204,487,1,1,http://localhost/blog/Scripts/Auto/01-jquery-1.9.1.min.js,0,0,0
1604260444144,1,home-9,304,Not Modified,Thread Group 1-1,,true,,204,484,1,1,http://localhost/blog/Scripts/Auto/02-jquery.cookie.js,0,0,0
1604260444145,0,home-10,304,Not Modified,Thread Group 1-1,,true,,204,488,1,1,http://localhost/blog/Scripts/Auto/04-jquery-jtemplates.js,0,0,0
1604260444145,1,home-11,304,Not Modified,Thread Group 1-1,,true,,204,480,1,1,http://localhost/blog/Scripts/Auto/05-json2.min.js,0,0,0
1604260444145,1,home-12,304,Not Modified,Thread Group 1-1,,true,,204,472,1,1,http://localhost/blog/Scripts/Auto/blog.js,0,0,0
1604260444145,1,home-13,304,Not Modified,Thread Group 1-1,,true,,205,497,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/XRegExp.js,0,0,0
1604260444146,0,home-14,304,Not Modified,Thread Group 1-1,,true,,205,496,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shCore.js,0,0,0
1604260444146,1,home-15,304,Not Modified,Thread Group 1-1,,true,,205,502,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shAutoloader.js,0,0,0
1604260444146,1,home-16,304,Not Modified,Thread Group 1-1,,true,,205,493,1,1,http://localhost/blog/scripts/syntaxhighlighter/shActivator.js,0,0,0
1604260444146,2,home-17,304,Not Modified,Thread Group 1-1,,true,,245,528,1,1,http://localhost/blog/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZKFmBG-AUY7YwSX-Eh_-So8UKa0fIVRDpGlQdJn4r3q4SNLVEw2&t=637322025772739184,0,0,0
1604260444146,1,home-18,304,Not Modified,Thread Group 1-1,,true,,205,486,1,1,http://localhost/blog/Content/images/blog/rssButton.png,0,0,0
1604260444147,64,home-19,304,Not Modified,Thread Group 1-1,,true,,375,475,1,1,http://www.gravatar.com/avatar/6d639091c771c54398e476fbbabb2ce4.jpg?d=identicon,0,0,0
1604260444147,64,home-20,304,Not Modified,Thread Group 1-1,,true,,375,475,1,1,http://www.gravatar.com/avatar/2fa808609fde06076e7121ee7861fbf6.jpg?d=identicon,0,0,0
1604260444226,181,home,200,OK,Thread Group 1-1,text,true,,39227,10051,1,1,http://localhost/blog/,47,0,0
1604260444226,47,home-0,200,OK,Thread Group 1-1,text,true,,24796,368,1,1,http://localhost/blog/,47,0,0
1604260444277,2,home-1,304,Not Modified,Thread Group 1-1,,true,,205,476,1,1,http://localhost/blog/Content/Auto/Global.css,0,0,2
1604260444277,61,home-2,200,OK,Thread Group 1-1,text,true,,10090,457,1,1,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",54,0,0
1604260444277,1,home-3,304,Not Modified,Thread Group 1-1,,true,,205,490,1,1,http://localhost/blog/Custom/Themes/Standard/css/styles.css,0,0,0
1604260444277,1,home-4,304,Not Modified,Thread Group 1-1,,true,,205,487,1,1,http://localhost/blog/Content/images/blog/blogengine.ico,0,0,0
1604260444277,1,home-5,304,Not Modified,Thread Group 1-1,,true,,205,496,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shCore.css,0,0,0
1604260444277,1,home-6,304,Not Modified,Thread Group 1-1,,true,,205,504,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,0,0,0
1604260444279,2,home-7,304,Not Modified,Thread Group 1-1,,true,,276,410,1,1,http://localhost/blog/en-us.res.axd,0,0,0
1604260444279,0,home-8,304,Not Modified,Thread Group 1-1,,true,,204,487,1,1,http://localhost/blog/Scripts/Auto/01-jquery-1.9.1.min.js,0,0,0
